ru|Здравствуйте|здра́вствуйте;До свидания|до свида́ния;Спасибо|спаси́бо;Пожалуйста|пожа́луйста;Сколько стоит?|ско́лько сто́ит;Помогите!|помоги́те
en|Hello|хэлло́у;Goodbye|гудба́й;Thank you|сэнк ю;Please|плиз;How much?|ха́у мач;Help!|хэлп
es|Hola|о́ла;Adiós|адьо́с;Gracias|гра́сьяс;Por favor|пор фаво́р;¿Cuánto cuesta?|куа́нто куэ́ста;¡Ayuda!|аю́да
fr|Bonjour|бонжу́р;Au revoir|о ревуа́р;Merci|мерси́;S'il vous plaît|силь ву пле;C'est combien?|се комбье́н;Au secours!|о секу́р
de|Hallo|ха́лло;Auf Wiedersehen|ауф ви́дерзеен;Danke|да́нке;Bitte|би́тте;Wie viel kostet das?|ви филь ко́стет дас;Hilfe!|хи́льфе
it|Buongiorno|буонджо́рно;Arrivederci|арриведе́рчи;Grazie|гра́цие;Per favore|пер фаво́ре;Quanto costa?|куа́нто ко́ста;Aiuto!|аю́то
pt|Olá|ола́;Adeus|адэ́уш;Obrigado|обрига́ду;Por favor|пур фаво́р;Quanto custa?|куа́нту ку́шта;Socorro!|соко́рру
nl|Hallo|ха́лло;Tot ziens|тот зи́нс;Dank je|данк е;Alsjeblieft|альсхебли́фт;Hoeveel kost het?|ху́вел кост хет;Help!|хелп
sv|Hej|хей;Hej då|хей до;Tack|так;Varsågod|варшого́д;Vad kostar det?|вад ко́стар де;Hjälp!|йельп
no|Hei|хей;Ha det|ха де;Takk|такк;Vær så snill|вэр со снилль;Hva koster det?|ва ко́стер де;Hjelp!|йельп
da|Hej|хай;Farvel|фарве́ль;Tak|так;Værsgo|вэсго́;Hvad koster det?|ва ко́стер де;Hjælp!|йельп
fi|Hei|хей;Näkemiin|няке́миин;Kiitos|ки́итос;Ole hyvä|о́ле хю́вя;Paljonko maksaa?|па́льонко ма́ксаа;Apua!|а́пуа
pl|Dzień dobry|джень до́бры;Do widzenia|до видзе́ня;Dziękuję|дженку́е;Proszę|про́ше;Ile to kosztuje?|и́ле то коштуе;Pomocy!|помо́цы
cs|Dobrý den|до́бри ден;Na shledanou|насхледа́ноу;Děkuji|де́куйи;Prosím|про́сим;Kolik to stojí?|ко́лик то сто́йи;Pomoc!|по́моц
sk|Dobrý deň|до́бри день;Dovidenia|довиде́ня;Ďakujem|дя́куем;Prosím|про́сим;Koľko to stojí?|ко́лько то сто́йи;Pomoc!|по́моц
hu|Jó napot|йо на́пот;Viszlát|ви́слат;Köszönöm|кёсёнём;Kérem|ке́рем;Mennyibe kerül?|ме́ннибе ке́рюль;Segítség!|шеги́тшег
ro|Bună ziua|бу́нэ зи́уа;La revedere|ла реведе́ре;Mulțumesc|мулцуме́ск;Vă rog|вэ рог;Cât costă?|кыт ко́стэ;Ajutor!|ажуто́р
bg|Здравейте|здраве́йте;Довиждане|дови́ждане;Благодаря|благодаря́;Моля|мо́ля;Колко струва?|ко́лко стру́ва;Помощ!|по́мошт
el|Γεια σας|я сас;Αντίο|анди́о;Ευχαριστώ|эфхаристо́;Παρακαλώ|паракало́;Πόσο κάνει;|по́со ка́ни;Βοήθεια!|вои́сия
tr|Merhaba|мерхаба́;Hoşça kal|хошча́ кал;Teşekkürler|тешеккюрле́р;Lütfen|лю́тфен;Ne kadar?|не када́р;İmdat!|имда́т
ar|مرحبا|ма́рхаба;مع السلامة|ма ас-саля́ма;شكرا|шу́кран;من فضلك|мин фа́длик;كم الثمن؟|кям ас-са́ман;النجدة!|ан-на́жда
he|שלום|шало́м;להתראות|леитрао́т;תודה|тода́;בבקשה|бевакаша́;כמה זה עולה?|ка́ма зэ оле́;הצילו!|ацилу́
fa|سلام|саля́м;خداحافظ|ходахафе́з;ممنون|мамну́н;لطفا|лотфа́н;چند است؟|чанд аст;کمک!|коме́к
hi|नमस्ते|намасте́;अलविदा|алвида́;धन्यवाद|дханьява́д;कृपया|крипая́;कितने का है?|китне́ ка хэ;मदद!|мада́д
th|สวัสดี|саватди́;ลาก่อน|ла ко́н;ขอบคุณ|кхо́п кхун;กรุณา|каруна́;เท่าไหร่|тхау ра́й;ช่วยด้วย|чуа́й дуа́й
vi|Xin chào|син тя́о;Tạm biệt|там бье́т;Cảm ơn|кам он;Làm ơn|лам он;Bao nhiêu tiền?|бао нье́у тье́н;Cứu tôi!|кы́у той
id|Halo|ха́ло;Sampai jumpa|сампа́й джу́мпа;Terima kasih|тери́ма ка́си;Tolong|то́лонг;Berapa harganya?|бера́па харга́нья;Tolong!|то́лонг
ms|Helo|хе́ло;Selamat tinggal|селама́т тингга́л;Terima kasih|тери́ма ка́сих;Tolong|то́лонг;Berapa harganya?|бера́па харга́нья;Tolong!|то́лонг
zh|你好|ни хао;再见|цзай цзя́нь;谢谢|сесе;请|цин;多少钱？|дуо шао цянь;救命！|цзю мин
